,city,lat,lon,temp,cloud,wind speed,humidity,country
0,yenangyaung,20.4667,94.8833,24.33,100,1.19,92,MM
1,ushuaia,-54.8,-68.3,4.81,75,7.2,87,AR
2,knysna,-34.0363,23.0471,13.96,100,2.52,85,ZA
3,albany,42.6001,-73.9662,18.2,97,2.51,84,US
4,talnakh,69.4865,88.3972,-0.69,74,1.18,60,RU
5,lebu,-37.6167,-73.65,9.35,49,7.1,81,CL
6,mataura,-46.1927,168.8643,13.6,60,2.05,39,NZ
7,ponta do sol,32.6667,-17.1,20.93,25,2.0,72,PT
8,tromso,69.6496,18.957,13.09,0,0.89,71,NO
9,itoman,26.1247,127.6694,28.91,20,7.2,72,JP
10,cherskiy,68.75,161.3,-5.81,100,6.67,93,RU
11,bredasdorp,-34.5322,20.0403,7.93,4,2.89,89,ZA
12,fortuna,40.5982,-124.1573,14.82,90,0.45,75,US
13,castro,-24.7911,-50.0119,19.55,22,2.4,67,BR
14,natchitoches,31.7668,-93.1335,27.74,1,2.57,69,US
15,ust-nera,64.5667,143.2,0.05,98,2.45,73,RU
16,rikitea,-23.1203,-134.9692,23.04,27,9.69,73,PF
17,leh,34.1667,77.5833,12.39,38,1.67,38,IN
18,tavira,37.1273,-7.6486,21.93,35,5.97,69,PT
19,hofn,64.2539,-15.2082,6.34,100,8.5,69,IS
20,marquette,46.5333,-87.6335,10.2,81,2.03,84,US
21,alice springs,-23.7,133.8833,26.37,80,4.55,19,AU
22,tuktoyaktuk,69.4541,-133.0374,-1.84,41,4.84,82,CA
23,dasoguz,41.8363,59.9666,9.06,0,2.98,42,TM
24,vaini,-21.2,-175.2,26.09,20,4.12,83,TO
25,ahuimanu,21.4447,-157.8378,28.97,75,5.66,64,US
26,mahibadhoo,3.7833,72.9667,27.54,100,7.91,80,MV
27,bluff,-46.6,168.3333,13.78,76,5.24,64,NZ
28,avarua,-21.2078,-159.775,27.03,75,4.63,74,CK
29,tura,25.5198,90.2201,23.02,70,1.19,87,IN
30,lavrentiya,65.5833,-171.0,-0.25,24,0.71,78,RU
31,banyo,6.75,11.8167,17.5,77,1.59,94,CM
32,medford,42.3265,-122.8756,13.19,90,0.45,90,US
33,jamestown,42.097,-79.2353,18.93,1,0.45,75,US
34,port alfred,-33.5906,26.891,16.97,98,8.32,83,ZA
35,oro valley,32.3909,-110.9665,27.26,46,1.79,41,US
36,chapais,49.7834,-74.8492,6.88,96,3.11,92,CA
37,turayf,31.6725,38.6637,21.51,2,4.59,62,SA
38,souillac,-20.5167,57.5167,21.87,32,6.38,77,MU
39,thompson,55.7435,-97.8558,12.18,100,3.12,59,CA
